<ticker>,<date>,<time>,<close>
banknifty_option_contract,3/2/2022,15:17:00,279.9
banknifty_option_contract,3/2/2022,15:18:00,269.55
banknifty_option_contract,3/2/2022,15:19:00,257.25
banknifty_option_contract,3/2/2022,15:20:00,256.75
banknifty_option_contract,3/2/2022,15:21:00,250.35
banknifty_option_contract,3/2/2022,15:22:00,247.35
banknifty_option_contract,3/2/2022,15:23:00,239.4
banknifty_option_contract,3/2/2022,15:24:00,225.05
banknifty_option_contract,3/2/2022,15:25:00,223.9
banknifty_option_contract,3/2/2022,15:26:00,214.05
banknifty_option_contract,3/2/2022,15:27:00,214
banknifty_option_contract,3/2/2022,15:28:00,220.05
banknifty_option_contract,3/2/2022,15:29:00,218.35
banknifty_option_contract,3/2/2022,15:30:00,217.35
banknifty_option_contract,4/2/2022,9:15:00,253.65
banknifty_option_contract,4/2/2022,9:16:00,244.45
banknifty_option_contract,4/2/2022,9:17:00,255.55
banknifty_option_contract,4/2/2022,9:18:00,246.5
banknifty_option_contract,4/2/2022,9:19:00,245.5
banknifty_option_contract,4/2/2022,9:20:00,240.2
banknifty_option_contract,4/2/2022,9:21:00,254.15
banknifty_option_contract,4/2/2022,9:22:00,273.55
banknifty_option_contract,4/2/2022,9:23:00,281.45
banknifty_option_contract,4/2/2022,9:24:00,301.15
banknifty_option_contract,4/2/2022,9:25:00,308.95
banknifty_option_contract,4/2/2022,9:26:00,318.45
banknifty_option_contract,4/2/2022,9:27:00,331.7
banknifty_option_contract,4/2/2022,9:28:00,325.4
banknifty_option_contract,4/2/2022,9:29:00,326.55
banknifty_option_contract,4/2/2022,9:30:00,316.6
banknifty_option_contract,4/2/2022,9:31:00,328.9
banknifty_option_contract,4/2/2022,9:32:00,346.5
banknifty_option_contract,4/2/2022,9:33:00,337.05
banknifty_option_contract,4/2/2022,9:34:00,330.05
banknifty_option_contract,4/2/2022,9:35:00,308.9
banknifty_option_contract,4/2/2022,9:36:00,318.85
banknifty_option_contract,4/2/2022,9:37:00,323.75
banknifty_option_contract,4/2/2022,9:38:00,324.05
banknifty_option_contract,4/2/2022,9:39:00,325.2
banknifty_option_contract,4/2/2022,9:40:00,321.1
banknifty_option_contract,4/2/2022,9:41:00,318.6
banknifty_option_contract,4/2/2022,9:42:00,316.55
banknifty_option_contract,4/2/2022,9:43:00,314.7
banknifty_option_contract,4/2/2022,9:44:00,315.25
banknifty_option_contract,4/2/2022,9:45:00,311.85
banknifty_option_contract,4/2/2022,9:46:00,308.45
banknifty_option_contract,4/2/2022,9:47:00,316.75
banknifty_option_contract,4/2/2022,9:48:00,336.4
banknifty_option_contract,4/2/2022,9:49:00,332
banknifty_option_contract,4/2/2022,9:50:00,328.1
banknifty_option_contract,4/2/2022,9:51:00,336.3
banknifty_option_contract,4/2/2022,9:52:00,329.7
banknifty_option_contract,4/2/2022,9:53:00,330.1
banknifty_option_contract,4/2/2022,9:54:00,333.6
banknifty_option_contract,4/2/2022,9:55:00,330.35
banknifty_option_contract,4/2/2022,9:56:00,329.55
banknifty_option_contract,4/2/2022,9:57:00,315.05
banknifty_option_contract,4/2/2022,9:58:00,311.8
banknifty_option_contract,4/2/2022,9:59:00,307.8
banknifty_option_contract,4/2/2022,10:00:00,307.4
banknifty_option_contract,4/2/2022,10:01:00,311.55
banknifty_option_contract,4/2/2022,10:02:00,311.05
banknifty_option_contract,4/2/2022,10:03:00,303.6
banknifty_option_contract,4/2/2022,10:04:00,301.55
banknifty_option_contract,4/2/2022,10:05:00,297
banknifty_option_contract,4/2/2022,10:06:00,281.1
banknifty_option_contract,4/2/2022,10:07:00,284.65
banknifty_option_contract,4/2/2022,10:08:00,290.55
banknifty_option_contract,4/2/2022,10:09:00,278.3
banknifty_option_contract,4/2/2022,10:10:00,276
banknifty_option_contract,4/2/2022,10:11:00,270.35
banknifty_option_contract,4/2/2022,10:12:00,260.7
banknifty_option_contract,4/2/2022,10:13:00,265.45
banknifty_option_contract,4/2/2022,10:14:00,268.35
banknifty_option_contract,4/2/2022,10:15:00,267
banknifty_option_contract,4/2/2022,10:16:00,262.7
banknifty_option_contract,4/2/2022,10:17:00,255
banknifty_option_contract,4/2/2022,10:18:00,251.6
banknifty_option_contract,4/2/2022,10:19:00,239.9
banknifty_option_contract,4/2/2022,10:20:00,238.9
banknifty_option_contract,4/2/2022,10:21:00,244.55
banknifty_option_contract,4/2/2022,10:22:00,241.3
banknifty_option_contract,4/2/2022,10:23:00,245.4
banknifty_option_contract,4/2/2022,10:24:00,248.5
banknifty_option_contract,4/2/2022,10:25:00,246.75
banknifty_option_contract,4/2/2022,10:26:00,253.85
banknifty_option_contract,4/2/2022,10:27:00,260.75
banknifty_option_contract,4/2/2022,10:28:00,247.3
banknifty_option_contract,4/2/2022,10:29:00,249.9
